,language,article,date,views
1524,en,bayesian_statistics,13919.0,55.0
1525,en,bayesian_statistics,13920.0,83.0
1526,en,bayesian_statistics,13921.0,80.0
1527,en,bayesian_statistics,13922.0,82.0
1528,en,bayesian_statistics,13923.0,80.0
1529,en,bayesian_statistics,13924.0,69.0
1530,en,bayesian_statistics,13925.0,41.0
1531,en,bayesian_statistics,13926.0,54.0
1532,en,bayesian_statistics,13927.0,86.0
1533,en,bayesian_statistics,13928.0,97.0
1534,en,bayesian_statistics,13929.0,81.0
1535,en,bayesian_statistics,13930.0,98.0
1536,en,bayesian_statistics,13931.0,87.0
1537,en,bayesian_statistics,13932.0,36.0
1538,en,bayesian_statistics,13933.0,46.0
1539,en,bayesian_statistics,13934.0,86.0
1540,en,bayesian_statistics,13935.0,109.0
1541,en,bayesian_statistics,13936.0,105.0
1542,en,bayesian_statistics,13937.0,71.0
1543,en,bayesian_statistics,13938.0,66.0
1544,en,bayesian_statistics,13939.0,37.0
1545,en,bayesian_statistics,13940.0,46.0
1546,en,bayesian_statistics,13941.0,58.0
1547,en,bayesian_statistics,13942.0,44.0
1548,en,bayesian_statistics,13943.0,98.0
1549,en,bayesian_statistics,13944.0,101.0
1550,en,bayesian_statistics,13945.0,89.0
1551,en,bayesian_statistics,13946.0,55.0
1552,en,bayesian_statistics,13947.0,56.0
1553,en,bayesian_statistics,13948.0,99.0
1554,en,bayesian_statistics,13949.0,99.0
1555,en,bayesian_statistics,13950.0,83.0
1556,en,bayesian_statistics,13951.0,81.0
1557,en,bayesian_statistics,13952.0,70.0
1558,en,bayesian_statistics,13953.0,44.0
1559,en,bayesian_statistics,13954.0,55.0
1560,en,bayesian_statistics,13955.0,85.0
1561,en,bayesian_statistics,13956.0,84.0
1562,en,bayesian_statistics,13957.0,92.0
1563,en,bayesian_statistics,13958.0,96.0
1564,en,bayesian_statistics,13959.0,51.0
1565,en,bayesian_statistics,13960.0,46.0
1566,en,bayesian_statistics,13961.0,58.0
1567,en,bayesian_statistics,13962.0,54.0
1568,en,bayesian_statistics,13963.0,79.0
1569,en,bayesian_statistics,13964.0,91.0
1570,en,bayesian_statistics,13965.0,84.0
1571,en,bayesian_statistics,13966.0,77.0
1572,en,bayesian_statistics,13967.0,43.0
1573,en,bayesian_statistics,13968.0,52.0
1574,en,bayesian_statistics,13969.0,98.0
1575,en,bayesian_statistics,13970.0,86.0
1576,en,bayesian_statistics,13971.0,0.0
1577,en,bayesian_statistics,13972.0,104.0
1578,en,bayesian_statistics,13973.0,72.0
1579,en,bayesian_statistics,13974.0,58.0
1580,en,bayesian_statistics,13975.0,52.0
1581,en,bayesian_statistics,13976.0,100.0
1582,en,bayesian_statistics,13977.0,108.0
1583,en,bayesian_statistics,13978.0,103.0
1584,en,bayesian_statistics,13979.0,87.0
1585,en,bayesian_statistics,13980.0,78.0
1586,en,bayesian_statistics,13981.0,48.0
1587,en,bayesian_statistics,13982.0,67.0
1588,en,bayesian_statistics,13983.0,92.0
1589,en,bayesian_statistics,13984.0,116.0
1590,en,bayesian_statistics,13985.0,118.0
1591,en,bayesian_statistics,13986.0,99.0
1592,en,bayesian_statistics,13987.0,82.0
1593,en,bayesian_statistics,13988.0,56.0
1594,en,bayesian_statistics,13989.0,67.0
1595,en,bayesian_statistics,13990.0,100.0
1596,en,bayesian_statistics,13991.0,105.0
1597,en,bayesian_statistics,13992.0,99.0
1598,en,bayesian_statistics,13993.0,129.0
1599,en,bayesian_statistics,13994.0,75.0
1600,en,bayesian_statistics,13995.0,37.0
1601,en,bayesian_statistics,13996.0,51.0
1602,en,bayesian_statistics,13997.0,77.0
1603,en,bayesian_statistics,13998.0,81.0
1604,en,bayesian_statistics,13999.0,97.0
1605,en,bayesian_statistics,14000.0,80.0
1606,en,bayesian_statistics,14001.0,107.0
1607,en,bayesian_statistics,14002.0,46.0
1608,en,bayesian_statistics,14003.0,66.0
1609,en,bayesian_statistics,14004.0,81.0
1610,en,bayesian_statistics,14005.0,92.0
1611,en,bayesian_statistics,14006.0,80.0
1612,en,bayesian_statistics,14007.0,96.0
1613,en,bayesian_statistics,14008.0,65.0
1614,en,bayesian_statistics,14009.0,41.0
1615,en,bayesian_statistics,14010.0,50.0
1616,en,bayesian_statistics,14011.0,78.0
1617,en,bayesian_statistics,14012.0,83.0
1618,en,bayesian_statistics,14013.0,70.0
1619,en,bayesian_statistics,14014.0,75.0
1620,en,bayesian_statistics,14015.0,88.0
1621,en,bayesian_statistics,14016.0,48.0
1622,en,bayesian_statistics,14017.0,61.0
1623,en,bayesian_statistics,14018.0,100.0
1624,en,bayesian_statistics,14019.0,94.0
1625,en,bayesian_statistics,14020.0,76.0
1626,en,bayesian_statistics,14021.0,90.0
1627,en,bayesian_statistics,14022.0,72.0
1628,en,bayesian_statistics,14023.0,51.0
1629,en,bayesian_statistics,14024.0,49.0
1630,en,bayesian_statistics,14025.0,100.0
1631,en,bayesian_statistics,14026.0,104.0
1632,en,bayesian_statistics,14027.0,100.0
1633,en,bayesian_statistics,14028.0,83.0
1634,en,bayesian_statistics,14029.0,80.0
1635,en,bayesian_statistics,14030.0,45.0
1636,en,bayesian_statistics,14031.0,75.0
1637,en,bayesian_statistics,14032.0,92.0
1638,en,bayesian_statistics,14033.0,89.0
1639,en,bayesian_statistics,14034.0,78.0
1640,en,bayesian_statistics,14035.0,86.0
1641,en,bayesian_statistics,14036.0,72.0
1642,en,bayesian_statistics,14037.0,45.0
1643,en,bayesian_statistics,14038.0,47.0
1644,en,bayesian_statistics,14039.0,83.0
1645,en,bayesian_statistics,14040.0,84.0
1646,en,bayesian_statistics,14041.0,109.0
1647,en,bayesian_statistics,14042.0,72.0
1648,en,bayesian_statistics,14043.0,69.0
1649,en,bayesian_statistics,14044.0,42.0
1650,en,bayesian_statistics,14045.0,36.0
1651,en,bayesian_statistics,14046.0,94.0
1652,en,bayesian_statistics,14047.0,82.0
1653,en,bayesian_statistics,14048.0,87.0
1654,en,bayesian_statistics,14049.0,85.0
1655,en,bayesian_statistics,14050.0,82.0
1656,en,bayesian_statistics,14051.0,38.0
1657,en,bayesian_statistics,14052.0,45.0
1658,en,bayesian_statistics,14053.0,82.0
1659,en,bayesian_statistics,14054.0,87.0
1660,en,bayesian_statistics,14055.0,76.0
1661,en,bayesian_statistics,14056.0,78.0
1662,en,bayesian_statistics,14057.0,75.0
1663,en,bayesian_statistics,14058.0,53.0
1664,en,bayesian_statistics,14059.0,46.0
1665,en,bayesian_statistics,14060.0,61.0
1666,en,bayesian_statistics,14061.0,69.0
1667,en,bayesian_statistics,14062.0,92.0
1668,en,bayesian_statistics,14063.0,70.0
1669,en,bayesian_statistics,14064.0,58.0
1670,en,bayesian_statistics,14065.0,59.0
1671,en,bayesian_statistics,14066.0,61.0
1672,en,bayesian_statistics,14067.0,70.0
1673,en,bayesian_statistics,14068.0,81.0
1674,en,bayesian_statistics,14069.0,85.0
1675,en,bayesian_statistics,14070.0,73.0
1676,en,bayesian_statistics,14071.0,66.0
1677,en,bayesian_statistics,14072.0,42.0
1678,en,bayesian_statistics,14073.0,50.0
1679,en,bayesian_statistics,14074.0,136.0
1680,en,bayesian_statistics,14075.0,221.0
1681,en,bayesian_statistics,14076.0,260.0
1682,en,bayesian_statistics,14077.0,225.0
1683,en,bayesian_statistics,14078.0,196.0
1684,en,bayesian_statistics,14079.0,123.0
1685,en,bayesian_statistics,14080.0,141.0
1686,en,bayesian_statistics,14081.0,106.0
1687,en,bayesian_statistics,14082.0,65.0
1688,en,bayesian_statistics,14083.0,62.0
1689,en,bayesian_statistics,14084.0,78.0
1690,en,bayesian_statistics,14085.0,62.0
1691,en,bayesian_statistics,14086.0,84.0
1692,en,bayesian_statistics,14087.0,132.0
1693,en,bayesian_statistics,14088.0,333.0
1694,en,bayesian_statistics,14089.0,305.0
1695,en,bayesian_statistics,14090.0,307.0
1696,en,bayesian_statistics,14091.0,208.0
1697,en,bayesian_statistics,14092.0,279.0
1698,en,bayesian_statistics,14093.0,142.0
1699,en,bayesian_statistics,14094.0,143.0
1700,en,bayesian_statistics,14095.0,184.0
1701,en,bayesian_statistics,14096.0,233.0
1702,en,bayesian_statistics,14097.0,185.0
1703,en,bayesian_statistics,14098.0,117.0
1704,en,bayesian_statistics,14099.0,65.0
1705,en,bayesian_statistics,14100.0,57.0
1706,en,bayesian_statistics,14101.0,40.0
1707,en,bayesian_statistics,14102.0,85.0
1708,en,bayesian_statistics,14103.0,68.0
1709,en,bayesian_statistics,14104.0,80.0
1710,en,bayesian_statistics,14105.0,86.0
1711,en,bayesian_statistics,14106.0,69.0
1712,en,bayesian_statistics,14107.0,48.0
1713,en,bayesian_statistics,14108.0,41.0
1714,en,bayesian_statistics,14109.0,71.0
1715,en,bayesian_statistics,14110.0,184.0
1716,en,bayesian_statistics,14111.0,262.0
1717,en,bayesian_statistics,14112.0,245.0
1718,en,bayesian_statistics,14113.0,236.0
1719,en,bayesian_statistics,14114.0,60.0
1720,en,bayesian_statistics,14115.0,62.0
1721,en,bayesian_statistics,14116.0,91.0
1722,en,bayesian_statistics,14117.0,322.0
1723,en,bayesian_statistics,14118.0,296.0
1724,en,bayesian_statistics,14119.0,312.0
1725,en,bayesian_statistics,14120.0,299.0
1726,en,bayesian_statistics,14121.0,112.0
1727,en,bayesian_statistics,14122.0,60.0
1728,en,bayesian_statistics,14123.0,55.0
1729,en,bayesian_statistics,14124.0,76.0
1730,en,bayesian_statistics,14125.0,87.0
1731,en,bayesian_statistics,14126.0,88.0
1732,en,bayesian_statistics,14127.0,68.0
1733,en,bayesian_statistics,14128.0,48.0
1734,en,bayesian_statistics,14129.0,58.0
1735,en,bayesian_statistics,14130.0,89.0
1736,en,bayesian_statistics,14131.0,107.0
1737,en,bayesian_statistics,14132.0,87.0
1738,en,bayesian_statistics,14133.0,95.0
1739,en,bayesian_statistics,14134.0,97.0
1740,en,bayesian_statistics,14135.0,52.0
1741,en,bayesian_statistics,14136.0,96.0
1742,en,bayesian_statistics,14137.0,92.0
1743,en,bayesian_statistics,14138.0,79.0
1744,en,bayesian_statistics,14139.0,82.0
1745,en,bayesian_statistics,14140.0,79.0
1746,en,bayesian_statistics,14141.0,71.0
1747,en,bayesian_statistics,14142.0,48.0
1748,en,bayesian_statistics,14143.0,52.0
1749,en,bayesian_statistics,14144.0,95.0
1750,en,bayesian_statistics,14145.0,97.0
1751,en,bayesian_statistics,14146.0,86.0
1752,en,bayesian_statistics,14147.0,89.0
1753,en,bayesian_statistics,14148.0,65.0
1754,en,bayesian_statistics,14149.0,34.0
1755,en,bayesian_statistics,14150.0,55.0
1756,en,bayesian_statistics,14151.0,90.0
1757,en,bayesian_statistics,14152.0,90.0
1758,en,bayesian_statistics,14153.0,89.0
1759,en,bayesian_statistics,14154.0,79.0
1760,en,bayesian_statistics,14155.0,60.0
1761,en,bayesian_statistics,14156.0,60.0
1762,en,bayesian_statistics,14157.0,43.0
1763,en,bayesian_statistics,14158.0,69.0
1764,en,bayesian_statistics,14159.0,114.0
1765,en,bayesian_statistics,14160.0,80.0
1766,en,bayesian_statistics,14161.0,73.0
1767,en,bayesian_statistics,14162.0,90.0
1768,en,bayesian_statistics,14163.0,49.0
1769,en,bayesian_statistics,14164.0,66.0
1770,en,bayesian_statistics,14165.0,88.0
1771,en,bayesian_statistics,14166.0,84.0
1772,en,bayesian_statistics,14167.0,73.0
1773,en,bayesian_statistics,14168.0,94.0
1774,en,bayesian_statistics,14169.0,66.0
1775,en,bayesian_statistics,14170.0,58.0
1776,en,bayesian_statistics,14171.0,57.0
1777,en,bayesian_statistics,14172.0,83.0
1778,en,bayesian_statistics,14173.0,0.0
1779,en,bayesian_statistics,14174.0,0.0
1780,en,bayesian_statistics,14175.0,93.0
1781,en,bayesian_statistics,14176.0,75.0
1782,en,bayesian_statistics,14177.0,44.0
1783,en,bayesian_statistics,14178.0,67.0
1784,en,bayesian_statistics,14179.0,104.0
1785,en,bayesian_statistics,14180.0,89.0
1786,en,bayesian_statistics,14181.0,183.0
1787,en,bayesian_statistics,14182.0,90.0
1788,en,bayesian_statistics,14183.0,66.0
1789,en,bayesian_statistics,14184.0,62.0
1790,en,bayesian_statistics,14185.0,63.0
1791,en,bayesian_statistics,14186.0,86.0
1792,en,bayesian_statistics,14187.0,94.0
1793,en,bayesian_statistics,14188.0,74.0
1794,en,bayesian_statistics,14189.0,101.0
1795,en,bayesian_statistics,14190.0,76.0
1796,en,bayesian_statistics,14191.0,45.0
1797,en,bayesian_statistics,14192.0,83.0
1798,en,bayesian_statistics,14193.0,70.0
1799,en,bayesian_statistics,14194.0,114.0
1800,en,bayesian_statistics,14195.0,104.0
1801,en,bayesian_statistics,14196.0,94.0
1802,en,bayesian_statistics,14197.0,91.0
1803,en,bayesian_statistics,14198.0,47.0
1804,en,bayesian_statistics,14199.0,64.0
1805,en,bayesian_statistics,14200.0,113.0
1806,en,bayesian_statistics,14201.0,98.0
1807,en,bayesian_statistics,14202.0,93.0
1808,en,bayesian_statistics,14203.0,92.0
1809,en,bayesian_statistics,14204.0,92.0
1810,en,bayesian_statistics,14205.0,57.0
1811,en,bayesian_statistics,14206.0,78.0
1812,en,bayesian_statistics,14207.0,83.0
1813,en,bayesian_statistics,14208.0,104.0
1814,en,bayesian_statistics,14209.0,86.0
1815,en,bayesian_statistics,14210.0,83.0
1816,en,bayesian_statistics,14211.0,68.0
1817,en,bayesian_statistics,14212.0,49.0
1818,en,bayesian_statistics,14213.0,76.0
1819,en,bayesian_statistics,14214.0,97.0
1820,en,bayesian_statistics,14215.0,116.0
1821,en,bayesian_statistics,14216.0,80.0
1822,en,bayesian_statistics,14217.0,105.0
1823,en,bayesian_statistics,14218.0,95.0
1824,en,bayesian_statistics,14219.0,78.0
1825,en,bayesian_statistics,14220.0,67.0
1826,en,bayesian_statistics,14221.0,83.0
1827,en,bayesian_statistics,14222.0,68.0
1828,en,bayesian_statistics,14223.0,89.0
1829,en,bayesian_statistics,14224.0,98.0
1830,en,bayesian_statistics,14225.0,85.0
1831,en,bayesian_statistics,14226.0,67.0
1832,en,bayesian_statistics,14227.0,45.0
1833,en,bayesian_statistics,14228.0,75.0
1834,en,bayesian_statistics,14229.0,80.0
1835,en,bayesian_statistics,14230.0,69.0
1836,en,bayesian_statistics,14231.0,87.0
1837,en,bayesian_statistics,14232.0,70.0
1838,en,bayesian_statistics,14233.0,31.0
1839,en,bayesian_statistics,14234.0,40.0
1840,en,bayesian_statistics,14235.0,60.0
1841,en,bayesian_statistics,14236.0,52.0
1842,en,bayesian_statistics,14237.0,56.0
1843,en,bayesian_statistics,14238.0,38.0
1844,en,bayesian_statistics,14239.0,47.0
1845,en,bayesian_statistics,14240.0,44.0
1846,en,bayesian_statistics,14241.0,34.0
1847,en,bayesian_statistics,14242.0,47.0
1848,en,bayesian_statistics,14243.0,44.0
1849,en,bayesian_statistics,14244.0,0.0
1850,en,bayesian_statistics,14245.0,28.0
1851,en,bayesian_statistics,14246.0,46.0
1852,en,bayesian_statistics,14247.0,44.0
1853,en,bayesian_statistics,14248.0,54.0
1854,en,bayesian_statistics,14249.0,89.0
1855,en,bayesian_statistics,14250.0,96.0
1856,en,bayesian_statistics,14251.0,73.0
1857,en,bayesian_statistics,14252.0,69.0
1858,en,bayesian_statistics,14253.0,69.0
1859,en,bayesian_statistics,14254.0,47.0
1860,en,bayesian_statistics,14255.0,51.0
1861,en,bayesian_statistics,14256.0,76.0
1862,en,bayesian_statistics,14257.0,80.0
1863,en,bayesian_statistics,14258.0,85.0
1864,en,bayesian_statistics,14259.0,85.0
1865,en,bayesian_statistics,14260.0,70.0
1866,en,bayesian_statistics,14261.0,105.0
1867,en,bayesian_statistics,14262.0,52.0
1868,en,bayesian_statistics,14263.0,75.0
1869,en,bayesian_statistics,14264.0,95.0
1870,en,bayesian_statistics,14265.0,84.0
1871,en,bayesian_statistics,14266.0,86.0
1872,en,bayesian_statistics,14267.0,65.0
1873,en,bayesian_statistics,14268.0,47.0
1874,en,bayesian_statistics,14269.0,54.0
1875,en,bayesian_statistics,14270.0,73.0
1876,en,bayesian_statistics,14271.0,94.0
1877,en,bayesian_statistics,14272.0,71.0
1878,en,bayesian_statistics,14273.0,113.0
1879,en,bayesian_statistics,14274.0,87.0
1880,en,bayesian_statistics,14275.0,43.0
1881,en,bayesian_statistics,14276.0,50.0
1882,en,bayesian_statistics,14277.0,87.0
1883,en,bayesian_statistics,14278.0,110.0
1884,en,bayesian_statistics,14279.0,80.0
1885,en,bayesian_statistics,14280.0,104.0
1886,en,bayesian_statistics,14281.0,93.0
1887,en,bayesian_statistics,14282.0,48.0
1888,en,bayesian_statistics,14283.0,68.0
1889,en,bayesian_statistics,14284.0,89.0
1890,en,bayesian_statistics,14285.0,87.0
1891,en,bayesian_statistics,14286.0,92.0
1892,en,bayesian_statistics,14287.0,81.0
1893,en,bayesian_statistics,14288.0,81.0
1894,en,bayesian_statistics,14289.0,51.0
1895,en,bayesian_statistics,14290.0,51.0
1896,en,bayesian_statistics,14291.0,85.0
1897,en,bayesian_statistics,14292.0,109.0
1898,en,bayesian_statistics,14293.0,89.0
1899,en,bayesian_statistics,14294.0,64.0
1900,en,bayesian_statistics,14295.0,78.0
1901,en,bayesian_statistics,14296.0,63.0
1902,en,bayesian_statistics,14297.0,65.0
1903,en,bayesian_statistics,14298.0,98.0
1904,en,bayesian_statistics,14299.0,112.0
1905,en,bayesian_statistics,14300.0,105.0
1906,en,bayesian_statistics,14301.0,102.0
1907,en,bayesian_statistics,14302.0,77.0
1908,en,bayesian_statistics,14303.0,58.0
1909,en,bayesian_statistics,14304.0,62.0
1910,en,bayesian_statistics,14305.0,82.0
1911,en,bayesian_statistics,14306.0,87.0
1912,en,bayesian_statistics,14307.0,113.0
1913,en,bayesian_statistics,14308.0,102.0
1914,en,bayesian_statistics,14309.0,76.0
1915,en,bayesian_statistics,14310.0,58.0
1916,en,bayesian_statistics,14311.0,76.0
1917,en,bayesian_statistics,14312.0,94.0
1918,en,bayesian_statistics,14313.0,82.0
1919,en,bayesian_statistics,14314.0,92.0
1920,en,bayesian_statistics,14315.0,95.0
1921,en,bayesian_statistics,14316.0,94.0
1922,en,bayesian_statistics,14317.0,59.0
1923,en,bayesian_statistics,14318.0,59.0
1924,en,bayesian_statistics,14319.0,75.0
1925,en,bayesian_statistics,14320.0,94.0
1926,en,bayesian_statistics,14321.0,107.0
1927,en,bayesian_statistics,14322.0,106.0
1928,en,bayesian_statistics,14323.0,93.0
1929,en,bayesian_statistics,14324.0,67.0
1930,en,bayesian_statistics,14325.0,67.0
1931,en,bayesian_statistics,14326.0,115.0
1932,en,bayesian_statistics,14327.0,84.0
1933,en,bayesian_statistics,14328.0,100.0
1934,en,bayesian_statistics,14329.0,123.0
1935,en,bayesian_statistics,14330.0,106.0
1936,en,bayesian_statistics,14331.0,71.0
1937,en,bayesian_statistics,14332.0,65.0
1938,en,bayesian_statistics,14333.0,103.0
1939,en,bayesian_statistics,14334.0,113.0
1940,en,bayesian_statistics,14335.0,92.0
1941,en,bayesian_statistics,14336.0,91.0
1942,en,bayesian_statistics,14337.0,98.0
1943,en,bayesian_statistics,14338.0,55.0
1944,en,bayesian_statistics,14339.0,56.0
1945,en,bayesian_statistics,14340.0,95.0
1946,en,bayesian_statistics,14341.0,114.0
1947,en,bayesian_statistics,14342.0,125.0
1948,en,bayesian_statistics,14343.0,108.0
1949,en,bayesian_statistics,14344.0,90.0
1950,en,bayesian_statistics,14345.0,68.0
1951,en,bayesian_statistics,14346.0,74.0
1952,en,bayesian_statistics,14347.0,91.0
1953,en,bayesian_statistics,14348.0,139.0
1954,en,bayesian_statistics,14349.0,114.0
1955,en,bayesian_statistics,14350.0,111.0
1956,en,bayesian_statistics,14351.0,95.0
1957,en,bayesian_statistics,14352.0,59.0
1958,en,bayesian_statistics,14353.0,68.0
1959,en,bayesian_statistics,14354.0,101.0
1960,en,bayesian_statistics,14355.0,126.0
1961,en,bayesian_statistics,14356.0,109.0
1962,en,bayesian_statistics,14357.0,105.0
1963,en,bayesian_statistics,14358.0,97.0
1964,en,bayesian_statistics,14359.0,71.0
1965,en,bayesian_statistics,14360.0,80.0
1966,en,bayesian_statistics,14361.0,115.0
1967,en,bayesian_statistics,14362.0,110.0
1968,en,bayesian_statistics,14363.0,101.0
1969,en,bayesian_statistics,14364.0,108.0
1970,en,bayesian_statistics,14365.0,80.0
1971,en,bayesian_statistics,14366.0,73.0
1972,en,bayesian_statistics,14367.0,67.0
1973,en,bayesian_statistics,14368.0,104.0
1974,en,bayesian_statistics,14369.0,117.0
1975,en,bayesian_statistics,14370.0,114.0
1976,en,bayesian_statistics,14371.0,90.0
1977,en,bayesian_statistics,14372.0,109.0
1978,en,bayesian_statistics,14373.0,59.0
1979,en,bayesian_statistics,14374.0,61.0
1980,en,bayesian_statistics,14375.0,101.0
1981,en,bayesian_statistics,14376.0,105.0
1982,en,bayesian_statistics,14377.0,125.0
1983,en,bayesian_statistics,14378.0,116.0
1984,en,bayesian_statistics,14379.0,93.0
1985,en,bayesian_statistics,14380.0,58.0
1986,en,bayesian_statistics,14381.0,65.0
1987,en,bayesian_statistics,14382.0,108.0
1988,en,bayesian_statistics,14383.0,143.0
1989,en,bayesian_statistics,14384.0,127.0
1990,en,bayesian_statistics,14385.0,100.0
1991,en,bayesian_statistics,14386.0,78.0
1992,en,bayesian_statistics,14387.0,63.0
1993,en,bayesian_statistics,14388.0,54.0
1994,en,bayesian_statistics,14389.0,94.0
1995,en,bayesian_statistics,14390.0,108.0
1996,en,bayesian_statistics,14391.0,116.0
1997,en,bayesian_statistics,14392.0,121.0
1998,en,bayesian_statistics,14393.0,91.0
1999,en,bayesian_statistics,14394.0,67.0
2000,en,bayesian_statistics,14395.0,66.0
2001,en,bayesian_statistics,14396.0,113.0
2002,en,bayesian_statistics,14397.0,142.0
2003,en,bayesian_statistics,14398.0,157.0
2004,en,bayesian_statistics,14399.0,125.0
2005,en,bayesian_statistics,14400.0,92.0
2006,en,bayesian_statistics,14401.0,104.0
2007,en,bayesian_statistics,14402.0,79.0
2008,en,bayesian_statistics,14403.0,136.0
2009,en,bayesian_statistics,14404.0,120.0
2010,en,bayesian_statistics,14405.0,111.0
2011,en,bayesian_statistics,14406.0,111.0
2012,en,bayesian_statistics,14407.0,111.0
2013,en,bayesian_statistics,14408.0,64.0
2014,en,bayesian_statistics,14409.0,88.0
2015,en,bayesian_statistics,14410.0,126.0
2016,en,bayesian_statistics,14411.0,136.0
2017,en,bayesian_statistics,14412.0,138.0
2018,en,bayesian_statistics,14413.0,122.0
2019,en,bayesian_statistics,14414.0,122.0
2020,en,bayesian_statistics,14415.0,78.0
2021,en,bayesian_statistics,14416.0,81.0
2022,en,bayesian_statistics,14417.0,138.0
2023,en,bayesian_statistics,14418.0,94.0
2024,en,bayesian_statistics,14419.0,145.0
2025,en,bayesian_statistics,14420.0,121.0
2026,en,bayesian_statistics,14421.0,92.0
2027,en,bayesian_statistics,14422.0,62.0
2028,en,bayesian_statistics,14423.0,64.0
2029,en,bayesian_statistics,14424.0,126.0
2030,en,bayesian_statistics,14425.0,117.0
2031,en,bayesian_statistics,14426.0,138.0
2032,en,bayesian_statistics,14427.0,98.0
2033,en,bayesian_statistics,14428.0,98.0
2034,en,bayesian_statistics,14429.0,48.0
2035,en,bayesian_statistics,14430.0,78.0
2036,en,bayesian_statistics,14431.0,123.0
2037,en,bayesian_statistics,14432.0,117.0
2038,en,bayesian_statistics,14433.0,109.0
2039,en,bayesian_statistics,14434.0,118.0
2040,en,bayesian_statistics,14435.0,107.0
2041,en,bayesian_statistics,14436.0,54.0
2042,en,bayesian_statistics,14437.0,57.0
2043,en,bayesian_statistics,14438.0,132.0
2044,en,bayesian_statistics,14439.0,139.0
2045,en,bayesian_statistics,14440.0,116.0
2046,en,bayesian_statistics,14441.0,126.0
2047,en,bayesian_statistics,14442.0,106.0
2048,en,bayesian_statistics,14443.0,61.0
2049,en,bayesian_statistics,14444.0,0.0
2050,en,bayesian_statistics,14445.0,113.0
2051,en,bayesian_statistics,14446.0,121.0
2052,en,bayesian_statistics,14447.0,129.0
2053,en,bayesian_statistics,14448.0,125.0
2054,en,bayesian_statistics,14449.0,118.0
2055,en,bayesian_statistics,14450.0,67.0
2056,en,bayesian_statistics,14451.0,68.0
2057,en,bayesian_statistics,14452.0,128.0
2058,en,bayesian_statistics,14453.0,143.0
2059,en,bayesian_statistics,14454.0,140.0
2060,en,bayesian_statistics,14455.0,99.0
2061,en,bayesian_statistics,14456.0,96.0
2062,en,bayesian_statistics,14457.0,54.0
2063,en,bayesian_statistics,14458.0,73.0
2064,en,bayesian_statistics,14459.0,101.0
2065,en,bayesian_statistics,14460.0,106.0
2066,en,bayesian_statistics,14461.0,117.0
2067,en,bayesian_statistics,14462.0,102.0
2068,en,bayesian_statistics,14463.0,114.0
